iter	Logloss
0	0.4436518328
1	0.4024948558
2	0.3876415548
3	0.3841598034
4	0.3655646403
5	0.3607146761
6	0.3555380056
7	0.3523591192
8	0.3457898788
9	0.3389817026
10	0.3352015353
11	0.3301502069
12	0.3242851242
13	0.3177771079
14	0.3159526228
15	0.3133459869
16	0.3095536551
17	0.3086432976
18	0.3046490304
19	0.302379875
20	0.3015205261
21	0.2985848076
22	0.2980610428
23	0.2959427128
24	0.2921706073
25	0.2919478556
26	0.2855878991
27	0.2851709238
28	0.2845534118
29	0.2834387373
30	0.2818684883
31	0.281675945
32	0.2801726235
33	0.2801725927
34	0.2794298588
35	0.2782106297
36	0.2779922282
37	0.2758000893
38	0.2722165152
39	0.2718092524
40	0.2700752549
41	0.2695473231
42	0.2688315537
43	0.2677073857
44	0.2665399782
45	0.2662394268
46	0.2656158873
47	0.265306496
48	0.2646541846
49	0.2646541761
50	0.2638651076
51	0.2638526893
52	0.2626509932
53	0.2619123044
54	0.2614502775
55	0.2604021784
56	0.2598023119
57	0.259802311
58	0.2598023038
59	0.2584005333
60	0.2580098572
61	0.2569801634
62	0.2564254097
63	0.2561414983
64	0.252456337
65	0.2516090536
66	0.2504261988
67	0.2504261723
68	0.2494439351
69	0.2494099962
70	0.2485190043
71	0.2483492864
72	0.2477482801
73	0.2473116915
74	0.2472056965
75	0.2468602495
76	0.2468602493
77	0.2464800791
78	0.2464635454
79	0.2461859391
80	0.2460716287
81	0.2460448715
82	0.2457283472
83	0.2448086236
84	0.244690087
85	0.2446784219
86	0.2446668484
87	0.243682719
88	0.2436328079
89	0.2433308567
90	0.2430582115
91	0.2426093525
92	0.2423920607
93	0.2423920603
94	0.2416811416
95	0.2416706044
96	0.2416007372
97	0.2410541107
98	0.2408959558
99	0.2399827842
100	0.2399744021
101	0.239364111
102	0.2393505319
103	0.2390359111
104	0.2383470485
105	0.2382470535
106	0.2378810424
107	0.2378690758
108	0.2371952875
109	0.2368020754
110	0.2365633923
111	0.2362365471
112	0.2359410342
113	0.2348865712
114	0.2348865257
115	0.2342792837
116	0.2342444803
117	0.2337739963
118	0.2333115006
119	0.2331631225
120	0.2331393966
121	0.2323440688
122	0.2322822116
123	0.2320760661
124	0.2320564589
125	0.2317362202
126	0.2316063747
127	0.2315801759
128	0.2315781838
129	0.2312490637
130	0.2307788629
131	0.2304321791
132	0.2304291034
133	0.229783073
134	0.2297680903
135	0.2289787487
136	0.2288720181
137	0.2282260555
138	0.2281535081
139	0.2281123422
140	0.2281069293
141	0.2271651629
142	0.226778196
143	0.2267752602
144	0.2265924668
145	0.2265919408
146	0.2265919281
147	0.2265919281
148	0.2262535529
149	0.226233705
150	0.2259724451
151	0.2255488922
152	0.225478164
153	0.225478164
154	0.2253478128
155	0.2252368902
156	0.2252368603
157	0.2250126829
158	0.224936228
159	0.2242162822
160	0.2242162741
161	0.223603254
162	0.2235911119
163	0.2227865008
164	0.2222017796
165	0.2217337631
166	0.2212058978
167	0.2211596888
168	0.2210829529
169	0.2208902624
170	0.2208891847
171	0.2208891847
172	0.2201518849
173	0.2201278496
174	0.2197377488
175	0.2195167005
176	0.2193545743
177	0.2189174588
178	0.2188840682
179	0.2183370626
180	0.2177231971
181	0.2176370325
182	0.2176227685
183	0.2175956396
184	0.2172807305
185	0.2170028794
186	0.2170005992
187	0.2169607115
188	0.2168863344
189	0.2168407889
190	0.2167928262
191	0.2167367264
192	0.2167197267
193	0.2167197254
194	0.2163499602
195	0.2162836173
196	0.2157269197
197	0.215686626
198	0.215325553
199	0.2152871511
200	0.2152804234
201	0.2148940394
202	0.2148090151
203	0.2147889262
204	0.2147582765
205	0.214406698
206	0.2138863253
207	0.2138267167
208	0.21353225
209	0.2132546283
210	0.2130746784
211	0.2128855786
212	0.2128280466
213	0.2127225423
214	0.2122742019
215	0.2118320078
216	0.2115279056
217	0.2112719693
218	0.2112264122
219	0.2107636218
220	0.2105382858
221	0.2103911081
222	0.210291355
223	0.2101526843
224	0.2100858444
225	0.209899306
226	0.2096570656
227	0.2093988138
228	0.2093658274
229	0.2093658272
230	0.209113924
231	0.2091139076
232	0.2087830132
233	0.2086060073
234	0.2084140911
235	0.2083001944
236	0.2081089207
237	0.2081089197
238	0.2078239357
239	0.2078089607
240	0.2077314297
241	0.2076630518
242	0.2075219544
243	0.2075218582
244	0.2075169611
245	0.2075066872
246	0.2072482921
247	0.2067590389
248	0.2067514972
249	0.2063747932
250	0.2063330794
251	0.2057853489
252	0.2055510975
253	0.2055409429
254	0.2052683211
255	0.2052484432
256	0.2051427976
257	0.2050899496
258	0.2050856549
259	0.2049859949
260	0.2046469508
261	0.2046469449
262	0.2046251673
263	0.2045002493
264	0.2044382738
265	0.2044282429
266	0.2041997376
267	0.2040823901
268	0.2036076863
269	0.2035755536
270	0.203545411
271	0.2032259409
272	0.2030442302
